0	12.160000	24.120000	29.900000	1712041534.710161
1	12.150000	24.120000	29.900000	1712041535.864441
2	12.180000	24.140000	29.900000	1712041537.022762
3	12.150000	24.120000	29.900000	1712041538.179511
4	12.160000	24.100000	29.900000	1712041539.334814
5	12.170000	24.150000	29.900000	1712041540.491821
6	12.160000	24.130000	29.900000	1712041541.650992
7	12.170000	24.110000	29.900000	1712041542.805138
8	12.160000	24.140000	29.900000	1712041543.960636
9	12.160000	24.110000	29.900000	1712041545.118353
10	12.160000	24.110000	29.900000	1712041546.274404
11	12.170000	24.140000	29.900000	1712041547.430786
12	12.150000	24.120000	29.900000	1712041548.587241
13	12.180000	24.120000	29.900000	1712041549.744728
14	12.170000	24.100000	29.800000	1712041550.901298
15	12.160000	24.130000	29.800000	1712041552.059390
16	12.170000	24.140000	29.800000	1712041553.216598
17	12.180000	24.130000	29.800000	1712041554.372976
18	12.170000	24.120000	29.900000	1712041555.529049
19	12.150000	24.110000	29.900000	1712041556.685833
20	12.170000	24.140000	29.900000	1712041557.841603
21	12.160000	24.130000	29.900000	1712041558.996831
22	12.180000	24.130000	29.900000	1712041560.153048
23	12.160000	24.140000	29.900000	1712041561.308715
24	12.160000	24.130000	29.900000	1712041562.464338
25	12.170000	24.100000	29.900000	1712041563.621238
26	12.160000	24.110000	29.900000	1712041564.779903
27	12.150000	24.130000	29.800000	1712041565.935992
28	12.160000	24.130000	29.800000	1712041567.092560
29	12.180000	24.130000	29.800000	1712041568.245742
30	12.150000	24.130000	29.800000	1712041569.400644
31	12.150000	24.140000	29.800000	1712041570.556453
32	12.170000	24.110000	29.800000	1712041571.712611
33	12.160000	24.130000	29.800000	1712041572.870986
34	12.150000	24.130000	29.900000	1712041574.026333
35	12.170000	24.120000	29.900000	1712041575.189915
36	12.160000	24.140000	29.900000	1712041576.346961
37	12.170000	24.110000	29.900000	1712041577.502070
38	12.160000	24.110000	29.900000	1712041578.656895
39	12.150000	24.130000	29.900000	1712041579.813337
40	12.160000	24.130000	29.900000	1712041580.970703
41	12.170000	24.140000	29.900000	1712041582.127683
42	12.170000	24.140000	29.900000	1712041583.284182
43	12.170000	24.140000	29.900000	1712041584.439706
44	12.170000	24.140000	29.900000	1712041585.596945
45	12.150000	24.110000	29.900000	1712041586.753280
46	12.180000	24.140000	29.900000	1712041587.909753
47	12.180000	24.130000	29.900000	1712041589.067403
48	12.170000	24.120000	29.900000	1712041590.224702
49	12.170000	24.140000	29.900000	1712041591.380702
50	12.170000	24.110000	30.000000	1712041592.542009
51	12.160000	24.110000	30.000000	1712041593.700281
52	12.170000	24.100000	0.000000	1712041594.857042
53	-1.000000	-1.000000	0.000000	1712041596.014307
54	-1.000000	-1.000000	0.000000	1712041597.170567
55	-1.000000	-1.000000	0.000000	1712041597.627422
56	-1.000000	-1.000000	0.000000	1712041598.084740
57	-1.000000	-1.000000	0.000000	1712041598.542967
58	-1.000000	-1.000000	0.000000	1712041598.999383
59	-1.000000	-1.000000	0.000000	1712041599.458850
60	-1.000000	-1.000000	0.000000	1712041599.920069
61	-1.000000	-1.000000	0.000000	1712041600.377069
62	-1.000000	-1.000000	0.000000	1712041600.842762
63	-1.000000	-1.000000	0.000000	1712041601.305836
64	-1.000000	-1.000000	0.000000	1712041601.764812
65	-1.000000	-1.000000	0.000000	1712041602.223480
