0	28.600000	28.400000	28.500000	150.000000	1715588052.498301
1	32.300000	28.400000	28.500000	150.000000	1715588054.279049
2	46.800000	28.300000	28.800000	150.000000	1715588056.060897
3	66.700000	29.600000	30.200000	150.000000	1715588057.842671
4	87.700000	32.300000	33.200000	150.000000	1715588059.624202
5	108.400000	36.900000	38.100000	150.000000	1715588061.406848
6	129.100000	42.900000	44.300000	26.056140	1715588063.186928
7	144.800000	50.300000	51.700000	1.000000	1715588064.972827
8	150.300000	58.700000	59.900000	1.000000	1715588066.757755
9	148.900000	67.200000	67.900000	1.000000	1715588068.543581
10	144.500000	74.800000	74.900000	1.000000	1715588070.325683
11	139.500000	81.400000	80.900000	1.000000	1715588072.106285
12	134.000000	87.200000	86.300000	0.718540	1715588074.142783
13	129.900000	91.100000	89.800000	0.375517	1715588075.924512
14	126.000000	93.800000	92.500000	0.141921	1715588077.705263
15	122.900000	95.700000	94.400000	0.000000	1715588079.491267
16	120.100000	97.100000	95.500000	0.000000	1715588081.270936
17	117.700000	97.900000	96.000000	0.000000	1715588083.055073
18	115.600000	98.300000	96.200000	0.000000	1715588084.830805
19	113.800000	98.200000	96.100000	0.000000	1715588086.610711
20	112.100000	98.000000	95.900000	0.000000	1715588088.392124
21	110.500000	97.600000	95.600000	0.000000	1715588090.173318
22	109.100000	97.200000	95.000000	0.000000	1715588091.951964
23	107.800000	96.500000	94.400000	0.000000	1715588093.729318
24	106.600000	95.800000	93.800000	0.000000	1715588095.511320
25	105.300000	95.000000	93.100000	0.000000	1715588097.294830
26	104.200000	94.200000	92.500000	0.026045	1715588099.079992
27	103.100000	93.400000	91.700000	0.107424	1715588100.860998
28	102.000000	92.600000	91.000000	0.193040	1715588102.642742
29	101.000000	91.800000	90.200000	0.283071	1715588104.445888
30	99.900000	91.000000	89.400000	0.377353	1715588106.229898
31	98.900000	90.300000	88.700000	0.465128	1715588108.010492
32	98.000000	89.600000	87.900000	0.557744	1715588109.796972
33	97.000000	88.900000	87.100000	0.622162	1715588111.580654
34	96.100000	87.900000	86.500000	0.716207	1715588113.360520
35	95.200000	87.200000	85.900000	0.776889	1715588115.136971
36	94.300000	86.400000	85.200000	0.850684	1715588116.921037
37	93.400000	85.700000	84.500000	0.913369	1715588118.701104
38	92.500000	85.100000	83.700000	0.966970	1715588120.482714
39	91.700000	84.400000	82.800000	1.000000	1715588122.265819
40	90.900000	83.800000	82.100000	1.000000	1715588124.052283
41	90.200000	83.200000	81.600000	1.000000	1715588125.832264
42	89.500000	82.300000	81.000000	1.000000	1715588127.611736
43	88.900000	81.700000	80.400000	1.000000	1715588129.395362
44	88.300000	81.000000	79.900000	1.000000	1715588131.178236
45	87.600000	80.400000	79.500000	1.000000	1715588132.962477
46	87.000000	79.900000	79.000000	1.000000	1715588134.738511
47	86.400000	79.300000	78.300000	1.000000	1715588136.521042
48	85.800000	78.600000	77.800000	1.000000	1715588138.304849
49	85.200000	78.100000	77.200000	1.000000	1715588140.086359
50	84.500000	77.500000	76.500000	0	1715588141.860635
51	84.000000	77.100000	76.100000	0	1715588143.131574
52	83.500000	76.600000	75.800000	0	1715588144.405090
53	83.000000	76.100000	75.500000	0	1715588145.669764
54	82.500000	75.600000	75.100000	0	1715588146.940491
55	82.000000	75.200000	74.700000	0	1715588148.204631
56	81.500000	74.800000	74.200000	0	1715588149.471872
57	81.100000	74.500000	73.800000	0	1715588150.742073
58	80.600000	74.200000	73.400000	0	1715588152.008986
59	80.100000	73.800000	73.000000	0	1715588153.275857
60	79.600000	73.400000	72.600000	0	1715588154.544116
61	79.200000	73.100000	72.300000	0	1715588155.813181
62	78.800000	72.700000	72.000000	0	1715588157.080892
63	78.300000	72.400000	71.700000	0	1715588158.346914
64	77.900000	72.000000	71.400000	0	1715588159.617030
65	77.500000	71.700000	71.100000	0	1715588160.888394
66	77.100000	71.300000	70.800000	0	1715588162.155700
67	76.700000	70.900000	70.700000	0	1715588163.428661
68	76.300000	70.600000	70.400000	0	1715588164.695066
69	75.900000	70.400000	70.100000	0	1715588165.967054
70	75.500000	70.100000	69.800000	0	1715588167.236792
71	75.100000	69.700000	69.400000	0	1715588168.506758
72	74.700000	69.400000	69.100000	0	1715588169.775348
73	74.300000	69.100000	68.800000	0	1715588171.042085
74	74.000000	68.800000	68.500000	0	1715588172.310833
75	73.600000	68.500000	68.100000	0	1715588173.582364
76	73.200000	68.200000	67.600000	0	1715588174.852433
77	72.800000	68.000000	67.300000	0	1715588176.123154
78	72.400000	67.700000	67.000000	0	1715588177.388302
79	72.100000	67.400000	66.700000	0	1715588178.659260
80	71.700000	67.000000	66.500000	0	1715588179.930558
81	71.400000	66.700000	66.200000	0	1715588181.202896
82	71.100000	66.300000	66.000000	0	1715588182.471166
83	70.700000	66.100000	65.700000	0	1715588183.742587
84	70.400000	65.700000	65.400000	0	1715588185.010637
85	70.100000	65.400000	65.200000	0	1715588186.278517
86	69.800000	65.200000	64.900000	0	1715588187.550382
87	69.400000	64.900000	64.600000	0	1715588188.820304
88	69.100000	64.700000	64.200000	0	1715588190.087923
89	68.800000	64.400000	63.800000	0	1715588191.356305
90	68.500000	64.100000	63.500000	0	1715588192.625276
91	68.200000	63.900000	63.100000	0	1715588193.892901
92	67.800000	63.600000	62.700000	0	1715588195.163032
93	67.500000	63.400000	62.500000	0	1715588196.434352
94	67.300000	63.100000	62.200000	0	1715588197.699756
95	66.900000	62.800000	61.900000	0	1715588198.972209
96	66.600000	62.500000	61.700000	0	1715588200.241594
97	66.300000	62.200000	61.500000	0	1715588201.508443
